Title,Rental_Price,Rooms,m2,Province,Municipality,Date
"Piso en edificio avenida de santa mariña, 1, A Malata - Catabois - Ciudad Jardín, Ferrol",560€/mes,3 hab.,100 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en calle Poeta Pérez Parallé, 3, Canido, Ferrol",450€/mes,3 hab.,90 m²,a-coruna-provincia,Ferrol,2022-03-03
"Ático en calle Praia Quenxe, 40, Corcubion",275€/mes,2 hab.,45 m²,a-coruna-provincia,Corcubion,2022-03-03
"Piso en calle de Domingo A. de Andrade, 2, Campus norte - S.Caetano, Santiago de Compostela",540€/mes,3 hab.,100 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en rotonda de Nelle, 16, Falperra-Santa Lucía, A Coruña",750€/mes,3 hab.,80 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Regata Cuty Shark, 7, Monte Alto - Zalaeta - Atocha, A Coruña",600€/mes,2 hab.,60 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle sánchez calviño, 52, Zona Ultramar, Ferrol",500€/mes,4 hab.,90 m²,a-coruna-provincia,Ferrol,2022-03-03
"Ático en calle Otero Pedraio, 18, Cambre",450€/mes,2 hab.,70 m²,a-coruna-provincia,Cambre,2022-03-03
"Piso en avenida Castelao, 3, Curtis",420€/mes,2 hab.,80 m²,a-coruna-provincia,Curtis,2022-03-03
"Piso en calle Braña, 7, Maianca, Oleiros",550€/mes,2 hab.,75 m²,a-coruna-provincia,Oleiros,2022-03-03
